name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Central Square,"20 Havelock Road, singapore 059765",null,null,1.288236355,103.8432465,99,,
Central View,"50 Hougang Street 11, singapore 538749","S$ 1,250,000
  -
  S$ 1,250,000",40%-59%,1.353137747,103.8785255,99,,
Centro Mansions,"20 Lorong 32 Geylang, singapore 398280",null,40%-59%,1.313096334,103.8867547,99,,
Centro Mansions,"20 Lorong 32 Geylang, singapore 398280",null,40%-59%,1.313096334,103.8867547,99,,
Centro Residences,"59 Ang Mo Kio Avenue 8, singapore 567752","S$ 1,200,000
  -
  S$ 2,100,000",<20%,1.370304303,103.8483863,99,,
Century Ville,"4 Keng Chin Road, singapore 258707",null,null,undefined,undefined,0,,
Ceylon Court,"105 Ceylon Road, singapore 429680",null,null,1.308871624,103.8999102,99,,
Ceylon Crest,"30 Ceylon Road, singapore 429623",null,40%-59%,1.306323124,103.9029054,99,,
Chancery Corner,"8A Chancery Lane, singapore 309495",null,>80%,1.317789664,103.8370059,99,,
Chancery Garden,"14 Chancery Hill Road, singapore 309655",null,null,1.325288085,103.8388657,99,,
Chancery Lodge,"22 Chancery Hill Road, singapore 309660",null,null,1.325238998,103.8377654,99,,
Chancery Park,"9 Chancery Lane, singapore 309499",null,60%-79%,1.318994206,103.8368534,99,,
Changi Green,"712 Upper Changi Road East, singapore 486842","S$ 1,002,800
  -
  S$ 1,200,000",40%-59%,1.34477115,103.9638206,99,,
Chantilly Rise,"80 Hillview Avenue, singapore 669579","S$ 988,000
  -
  S$ 1,350,000",40%-59%,1.359010203,103.7632365,99,,
Chantilly Rise,"80 Hillview Avenue, singapore 669579","S$ 988,000
  -
  S$ 1,350,000",40%-59%,1.359010203,103.7632365,99,,
Chapel Court,"27 Sea Avenue, singapore 424247",null,60%-79%,1.305489375,103.9074266,99,,
Chapel Lodge,"41 Lorong Stangee, singapore 425032",null,60%-79%,1.308710471,103.9061045,99,,
Char Yong Gardens,"1 3 Hullet Road, singapore 229157",null,null,1.303610268,103.8384569,99,,
Charisma View,"167 Jalan Jurong Kechil, singapore 598671","S$ 900,000
  -
  S$ 900,000",40%-59%,1.344403193,103.768395,99,,
Charlton Court,"29B Surin Avenue, singapore 535609",null,null,1.355551723,103.8809516,99,,
Charming Garden,"138 King's Road, singapore 268156",null,>80%,1.316752343,103.8035611,99,,
Chateau Eliza,"18 Mount Elizabeth, singapore 228514",null,null,1.306976589,103.8361891,99,,
Chelsea Gardens,"6 Walshe Road, singapore 257650","S$ 3,500,000
  -
  S$ 3,500,000",60%-79%,1.313173532,103.8270792,99,,
Chelsea Lodge,"300 Tanjong Katong Road, singapore 437083","S$ 1,600,000
  -
  S$ 1,699,000",40%-59%,1.305314495,103.8959381,99,,
